question,answer,reference
Delusion of Grandeur kya hai,"Aisi barhi, jhooti yaqeen jisme shakhs apne aap ko azeem quwat, shanakht, daulat, khuda jaisa darja, ya kisi mazhabi khuda ke saath khusoosi talluq samajhta ho.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Tangential Speech kya hai,Aisi raabta saazi mein kami jismey guftagu karne wala musalsal asliyat sawal se hat kar mutaliqa mauzoaat par chala jata hai aur kabhi sawal ka jawab nahi deta.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Apni sehat ke nuqsan par logon ko khush karna main kaise rok sakta hoon?,"No kehna seekhein, ye aik mukammal jumla hai. Aapka waqt aur energy mehdoood resources hain jinko aapko bachana zaroori hai.",World Health Organization Mental Health Manual
Gham aur depression mein farq kya hai?,"Gham ya afsos ek normal reaction hai kisi nuqsaan, na-umeedi, masail, ya doosri mushkil halaat ke liye. Waqt-waqt par gham mehsoos karna insani fitrat ka hissa hai. Is surat mein gham jaldi door ho jata hai aur aap apni rozana zindagi guzar sakte hain. Gham kehne ke ilawa log low, down, ya blue bhi keh sakte hain. Aadmi keh sakta hai ke wo depressed hai lekin agar yeh apne aap theek ho jata hai aur zindagi par bara asar nahin dalta, toh yeh depression illness nahi hoti. Depression mental illness hai jo aapke mood, apni pehchaan, aur apne gird-o-nawaal samajhne ke tareeqay ko mutasir karti hai. Is ke mukhtalif naam bhi hain jaise clinical depression, major depressive disorder, ya major depression. Depression azaadi se aur sabab ke bina aa sakta hai aur lambe arsey tak rehta hai. Yeh gham ya low mood se kaafi zyada hai. Depression mein log khud ko bekaar ya be-umeed mehsoos karte hain. Wo bay-ja ziradari mehsoos kar sakte hain. Kuch log gussa ya chidhchida pan bhi mehsoos karte hain. Yeh tawajjo dene ya faislay karne mein mushkilat paida kar sakta hai. Bohat log apni pasand ki cheezen mein dilchaspi kho dete hain aur dusron se door ho jate hain. Depression ke physical nishaniyan bhi hoti hain, jaise neend, bhookh, taqat aur achanak dard ya dukhna. Kuch log maut ya apni zindagi khatam karne ke khayalat bhi karte hain. Depression do hafton se zyada rehta hai, apne aap theek nahi hota, aur zindagi ko mutasir karta hai. Yeh asli bemari hai aur bohat asani se ilaaj ke laayak hai. Agar aap depression ki fikr karte hain toh madad lena zaruri hai.",National Institute of Mental Health Clinical Guide
Olfactory Hallucination kya hai,"Aisi khushboo mehsoos karna jo physically mojood nahi hoti, aksar badboo dar, aksar temporal lobe epilepsy se mutalliq.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Agar mein apne dost ya rishtedar ke bare mein pareshan hoon to mein kya karoon?,"Yeh aapke rishtay par mabni hai. Ek shafqat bhara tareeqa yeh ho sakta hai ke aap unhein munasib support hasil karne ke liye rai dein, jo shuruat ke liye madadgar hoga.",World Health Organization Mental Health Manual
"Dissociative Identity Disorder, Multiple Personality Disorder, aur Schizophrenia mein kya farq hai?","Kabhi kabhi log Dissociative Identity Disorder, jisay pehle Multiple Personality Disorder ke naam se jana jata tha, aur Schizophrenia ko mix kar dete hain. Schizophrenia ka matlab hai split mind, lekin ye naam is liye rakha gaya tha kyun ke is condition mein aapko psychosis ke dauran haqeeqat se alag hote hue mehsoos hota hai, saath hi soch, jazbaat, aur doosri functions mein tabdeeli hoti hai. Dusri taraf, Dissociative Identity Disorder ek aisa halat hai jis mein shakhs apni apni pehchaan ka taqseem ya tukdon mein tawaqquf karta hai. DID zyada tar tukdon mein pehchaanon ki baat karta hai, na ke sirf mukhtalif zaati shaklain jo khud ba khud paida ho jati hain. Zyada tar log apne wajood ke mukhtalif hisay ko poore shakhs ka hissa samajhte hain. Jo log DID ka tajurba karte hain, unke pehchaan ke tukde bohat mukhtalif khususiyaat rakhte hain, jin mein apni tareekh, pehchaan, aur andaaz shamil hain. DID ka ek aham hissa 'dissociation' hai jiska matlab hai apne gird-o-nawaah se muntakil mehsoos karna. Jo log DID ka samna karte hain unke zehni yaadashat mein kayi be-wajah khala hotay hain, kuch maloomat bhool jate hain jo unhon ne pehle seekhi hoti hain, ya woh cheezen yaad nahi rakh pate jo unhon ne kahi hoti hain ya ki hoti hain. TV ya filmein mein DID ke natayej aksar wazeh dikhaye jate hain, magar asal zindagi mein yeh doosron ke liye zahir nahi hota, aur tashkhees mein kaafi waqt lag sakta hai. Schizophrenia ek sanjeeda zehni bemari hai jo hallucinations (jo haqeeqat mein mojood nahi hoti) aur delusions (aise yaqeen jo sach nahi ho sakte) paida karti hai, aur dusre aalamaat jaise uljha hua sochna, uljhi hui guftagu, aur jazbati izhaar mein mushkilat hoti hain. Jo log Schizophrenia ka tajurba karte hain woh aise awazon ya ehsaasaat mehsoos kar sakte hain jo asal mein mojood nahi, ya aisi cheezen yaqeen karte hain jo asal mein maujood nahi, lekin Yeh alag alag zaati shanakhtain nahi hotin.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Derealization kya hai,"Ek dissociative tabdeeli jahan baahri mahaul bilkul ghair haqeeqi, khwab jaisa, banawati, dhundla ya dhanche mein tabdeeli shuda lagta hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Main subah kyun zyada beqarar mehsoos karta hoon?,"Cortisol ki satah subah fitri tor par zyada hoti hai, ek pur-sukoon routine azmaen jaise halka phulka stretch karna ya meditation taake beqarari ko barqarar rakha ja sake.",World Health Organization Mental Health Manual
Binge Eating Disorder kya hai,"Is mein ek makhsoos waqt ke dauran itni zyada ghiza khana shamil hota hai jitni aksar log nahi khayenge, bina kisi purging ke.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Insomnia Disorder kya hai,"Neend ki miqdaar ya quality se musalsal na khushi, jo neend shuru karne mein mushkil, neend banaye rakhne mein takleef, ya subah jaldi uthne ke sath hoti hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Agar meri koi motivation na ho to main exercise kaise shuru karun?,Sirf 5 minute chalna shuru karein. Aksar shuru karne ka amal hi motivation paida karta hai jari rakhne ke liye.,World Health Organization Mental Health Manual
Trauma ki tashreeh kya hai,Trauma aik gehra neurobehavioral response hai jo aise wazeh events par hota hai jo fard ke internal psychological defense mechanisms ko mukammal tor par tod deta hai.,World Health Organization Mental Health Manual
Flat Affect kya hai,Fard ke jazbati izharat ki shiddat mein shadid kami jo ke ghair mutaharrik chehra aur monotone awaaz ke sath zahir hoti hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
How can I find a support group?,"Support groups are a way for people with a common experience to help each other and learn from each other. There are support groups for people with any experience of mental illness, support groups for people with a specific diagnosis, support groups for family members and friends, and more. Support groups are offered by community organizations, mental health service providers, schools, campuses, and support agencies. Here are some general resources to help you find a mental health or substance use related support group in BC Talk to your mental health care provider. They might be able to make recommendations. The Mood Disorders Association of BC offers a network of peer support groups around the province for people who experience mental illnesses like mood disorders or post-traumatic stress disorder. They also have groups for family and friends. Groups are drop-in. Many Canadian Mental Health Association branches offer support services, including support groups. If your local branch doesnt have their own program, they can recommend other services in your community. The BC Schizophrenia Society maintains a directory of support groups and other regular events for family members of people with a mental illness. For groups related to alcohol or drug use, call the Alcohol and Drug Information Referral Service at 1-800-663-1441 or 604-660-9382 in the Lower Mainland. For groups in the Lower Mainland, search the Red Book Online. If you are at school or on campus, talk to a school counsellor or your campus health and wellness office. For online support, see some suggestions at www.heretohelp.bc.cadiscuss. This can be particularly useful if you dont have a group in your community or have trouble getting to an in-person group. In order to benefit the most from a support group, you need to feel safe enough to share your experiences and thoughts, and you need to feel comfortable supporting others. It can be helpful to contact the group facilitator or organizer ahead of time to see if a particular group might be a good fit for you. We have a checklist to help you evaluate support groupsincluding when it might be time to leave one. Sometimes a group just doesnt work for you, and thats okay. If you feel comfortable, you can try talking to the facilitator to see if they can recommend another group that you can try.",World Health Organization Mental Health Manual
Reaction Formation kya hai,Ek na-qabil-e-qubool daakhli jazba ko chhupana by zehni tor par uske bilkul mukhalif rawaiye ko shadid tor par zahir karna.,Oxford Textbook of Psychiatry
Mujhe kisi apne se depression ka tashkhees hua hai. Main kaise madad kar sakta hoon?,"Hum fitratan un logon ki madad karna chahte hain jo khud ko behaal mehsoos kar rahe hain. Jab apka koi aisa pyara jis ke sath physical health ka masla ho, madad kaise karni hai yeh wazeh lagta hai, lekin mental illness jaise depression mein aksar log unsure hotay hain ke behtareen madad kaise karein. Kuch tips hain: Aapko zaroori nahin ke samajhna pade ke woh shakhs kya guzarta hai, bas yeh tasleem karna zaruri hai ke yeh mushkil tajarba hai. Aap kuch keh sakte hain jaise, 'Mujhe maloom hai yeh tajarba ya symptoms aap ke liye dardnaak hain,' ya 'Mujhe afsos hai ke aap behaal hain.' Agar aap ne khud kabhi depression dekha hai, toh keh sakte hain, 'Mujhe pata hai aap kaisa mehsoos kar rahe hain.' Sab ko yaad rahe ke har shakhs depression ko alag tareeqay se mehsoos karta hai, aur hamdardi illness ke asraat ko samajhne ke liye hoti hai, symptoms ka muqabla karne ke liye nahi. Aapko expert honay ki zarurat nahin, lekin depression ke bare mein zyada seekhna madadgar ho sakta hai. Hamara Depression info sheet shuruaat ke liye acha hai, aur humare paas kaafi resources ki list hai. Kabhi kabhi problems ya fikr par baat karna baree madad hoti haibahut se log bas suna jana chahte hain. Hamesha yaad rakhein ke khul kar mushkil baatein karna aasaan nahin hota. Aap unhe baat karne ko nahin majboor kar sakte, lekin unhe aman aur khamosh jagah de sakte hain. Jab koi pyara aap se baat kare, to bina mpaka aur dhyan dhang se sunein. Hamesha hamdardi aur be-insaafi ke baghair sunein. Chahe aap masla samajh na paayein, aapka maksad parhna chahiye ke pyara kis dard se guzar raha hai. Family Toolkit ke Module Three mein communication aur sun'ne ke tips hain. Kuch log abhi puri tarah baat karne ko tayar nahin hote. Unki hudood ka ehtiram karen. Be-mang advice aksar madadgar nahin hoti. Aap shayad problem hal na kar saken, aur aapko poori kahani bhi maloom nahin hoti. Agar aap apne tajurbe share karna chahe, toh poochhein ke dosre ke liye yeh faidemand hoga ya nahi. Har shakhs ki zaruratein alag hoti hainhamisha yeh na samjhein ke aapko pata hai behtareen kya hai. Kuch log jazbati madad chahte hain, jaise kisi se baat karna. Kuch log counselor ya professional se achha talluq rakhte hain, lekin practical madad chahte hain, jaise ghar ka kaam ya ilaaj plan par amal karna. Aur kuch log sirf social events mein shamil hona chahte hain. Log jab depression mein hotay hain to aksar negative khayalat aur jazbat hotay hain jo dusron par sodium asar daalte hain. Aapke apne liye support lena acha haifamily aur friends ke liye alag support groups hain. BC Schizophrenia Society ke paas mental illness ke liye family support groups ka directory hai. Agar aapke pyare ko ilaaj pasand nahin ya dusray options chahye, toh aap unki madad kar sakte hain dusre resources or services dhundhne mein.",National Institute of Mental Health Clinical Guide
Catastrophizing kya hai,Ek cognitive distortion jisme fard apne aap maan leta hai ke kisi ambiguous waqia se sab se bara nuqsaan hoga.,Beck Institute for CBT
Positive aur Negative Symptoms kya hain?,"Positive aur Negative symptoms schizophrenia ke do groups hain jo medical terms mein istamal hote hain. Positive symptoms chizain shaamil karte hain. Positive symptoms mein hallucinations (aise ehsaasat jo haqeeqat mein nahi hote), delusions (aise yaqeen jo asal mein nahi ho sakte), aur repetitive harkatain jo control karna mushkil hota hai shamil hain. Negative symptoms chizain khatam kar dete hain. Negative symptoms mein jazbaat ka izhaar na kar pana, laparwahi, bolne mein mushkilat, aur muasharti rawaiye se khud ko alag kar lena shamil hain. Ek teesri category bhi hoti hai jise cognitive symptoms kaha jata hai. Is mein soch se related har cheez shamil hai, jaise be-tarteeb soch, yaad dasht ki mushkilein, aur tawajju aur diqqat mein mushkilat.",World Health Organization Mental Health Manual
Cyclothymia kya hai,"Cyclothymia aik chronic, mutaghayyar mood disturbance hai jisme kam az kam do saal tak kai dafa hypomanic aur depressive symptoms hote hain.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Mental health aur mental illness mein farq kya hai?,"Mental health aur mental illness aaj kal aksar aise use hotay hain jaise dono ka matlab ek ho, lekin aisa nahin hai. Har insan ki mental health hoti hai, jese har insaan ki sehat hoti hai. Jaise World Health Organization kehte hain, 'Sehat bina mental health ke mumkin nahin.' Zindagi ke douran, har insaan mental illness nahi lega, magar sab ko apni mental wellbeing mein mushkilat ka samna karna parta hai, jese hum sab ko apni jismani sehat mein kabhi kabhi mushkilat hoti hain. Jab hum mental health ki baat karte hain, toh hum apne jazbat, khayalat, masail hal karne ki salahiyat, samaji talluqaat aur apne gird-o-nawaal ki samajh ki baat kar rahe hain. Mental illness aisi bemari hai jo aise tareeqay se asar dalti hai jese log sochte, mehsoos karte, rawaiya ikhtiyar karte ya dusron se ta'alluq rakhte hain. Mukhtalif mental illnesses mukhtalif symptoms rakhti hain jo logon ki zindagi alag tareeqay se mutasir karte hain. Sehat aik on/off switch nahi hai. Sehat ke mukhtalif darjaat hotay hain. Log ek continuum par hote hain jo achi sehat se le kar behtareen na hone aur illness ya disability tak jata hai. Misal ke taur par, kuch log achi sehat mein zindagi guzar rahe hote hain. Kuch ko serious sehat ke masail hain jin ka asar zindagi par bura hota hai. Kuch masail der tak chalti hain, kuch jaldi theek ho jati hain. Aksar log kendra mein hote hain bina zyada masail ke. Mental health bhi yeh yahee hai. Jese koi pareshaan mehsoos karta hai lekin serious illness nahin rakhta, log kharab mental health rakh sakte hain lekin mental illness nahin. Hum sab ke kuch din aise hotay hain jab hum thode down, stressed, ya overwhelmed mehsoos karte hain. Ache mental health ka ahem hissa yeh hai ke hum realisti tarah se problems ko dekhen. Ache mental health ka matlab hamesha khush rehna nahin, ya issues ko ignore karna nahin, balki masail ke bawajood accha rehna hai. Jese aap poor mental health rakh sakte hain bina mental illness ke, usi tarah acha mental health mumkin hai jab mental illness diagnose ho jaye. Kyunke mental illnesses jaise dosri batein, episodic hoti hainkabhi bimari hoti hai aur kabhi behtari. Sahi support aur tools ke sath koi bhi apni zindagi achi tareh guzar sakta hai, jis tarah bhi wo achha samajhta ho, aur apne maqsad hasal kar sakta hai.",World Health Organization Mental Health Manual
Dialectical Behavior Therapy kya hai,Dialectical Behavior Therapy ek zehni tabdeeli ka zariya hai jo chronic jazbati beqarari aur borderline khasaais ko nishana banata hai.,American Psychological Association Clinical Guidelines
"Agar dawa lene ke baad main behtar mehsoos karun, kya iska matlab hai ke main theek ho gaya hoon aur dawa lena band kar sakta hoon?","Yeh aam baat hai ke log apni dawa lena band kar dete hain jab woh mehsoos karte hain ke alamat qabu mein hain. Kuch log dawa ke side effects ki wajah se bhi use chhod dete hain, baghair samjhay ke aksar side effects ko asani se manage kiya ja sakta hai. Jabke dawa lena chhor dena uchit lagta hai, masla yeh hai ke ziadatar alamat wapas aa jate hain. Agar aap ya aapka bacha dawa le raha hai, to bohat zaruri hai ke aap apne doctor ke saath milkar treatment mein badlao ki faislay karein. Aap unse baat karein ke aap kaise kar rahe hain aur agar side effects hain jo aapko ilaaj jari rakhne se rok rahay hain. Woh aapke saath milkar in side effects ko kam karne ki strategies banayenge ya aise ilaaj ki mansuba bandi karenge jo aapke liye behtareen ho.",World Health Organization Mental Health Manual
How can I take care of my physical health?,"Taking care of your physical health is also good for your mental health. Its more important than ever to keep yourself healthy. Try to eat as well as you can. It may be easier to reach for unhealthier comfort foods and snacks while you spend more time at home, but try to keep a balanced approach. When you stock up on groceries, dont ignore fresh fruit and vegetableswe still have everything we need to prepare food. Now that were advised to limit the amount of time we spend in public spaces like grocery stores, this is a great time to try out new fruits and vegetables that keep at home for longer periods of time. If its safer for you to stay home or you are in self-isolation, reach out for help. Many grocery stores and meal prep services offer safe, no-contact delivery. You can also ask family or friends to bring you groceries, or look for local COVID-19 support groups on social media. Its safest if others leave food and other supplies outside of your door to avoid spreading the virus. Exercise is an important part of mental health and well-being, stress management, and health sleep. However, its something that many people give up when they start to feel stressed or overwhelmed. If its safe for you to do so, spend time outside. You should still avoid busy areas or groups and stay at least two metres away from others, but there is no reason to avoid walks, runs, or other safe outdoor activities. Note that some municipalities, BC Parks, and Parks Canada have restricted some outdoor spaces to reduce crowds, so check the status of your local parks or trails and respect closurestheyre just keeping everyone safe. If you prefer to exercise indoors, you can also find many different exercises classes online. You can try yoga, follow a barre class, work on your cardio, pick up a new dumbbell routine, and keep up with Crossfit WODs from the comfort of your living room. Look for no-equipment exercise routines or classes if you dont already have equipment. Poor sleep can make even simple problems feel a lot worse than they really are. Poor sleep can affect your mood, your outlook, and your patience. Unfortunately, stress and anxiety can really take a toll on your sleep. If youre having a hard time sleeping, be proactive and practice healthy sleep habits. For more, check out Wellness Module 6 Getting a Good Nights Sleep at www.heretohelp.bc.cawellness-modulewellness-module-6-getting-a-good-nights-sleep. If you have other health problems like a chronic illness, check in with your doctor or health care team to see if you need to take any additional measures or precautions. Remember to plan ahead and do what you can to keep prescription or over-the-counter medications, medical supplies, supplements, or other health needs on hand.",World Health Organization Mental Health Manual
Mein kaise jaane ke mein beemar hoon?,"Agar aap ke aqeedat, khayalat, jazbaat ya rawaiye aap ki day-to-day zindagi mein aam tareeqe se kaam karne par aham asar dal rahe hain to madad lena zaruri ho jata hai.",World Health Organization Mental Health Manual
Schizophrenia ki tashreeh kya hai,"Schizophrenia aik shadeed neurodevelopmental disorder hai jo delusions, auditory hallucinations, flat affect, aur executive impairment se pehchana jata hai.",World Health Organization Mental Health Manual
Zehen ki stability ke liye routine ki kya ahmiyat hai?,"Routine rozana leni wali faislon ki tadaad kam karta hai, jo zehni bojh kam karta hai aur hifazat ka ehsas deta hai.",World Health Organization Mental Health Manual
Blunted Affect kya hai,"Ek jazbati be-qarari jo jazbati izharat ki shiddat mein kafi kami par mushtamil hoti hai, magar flat affect jitni mukammal nahi hoti.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Jab mein khoya hua mehsoos karta hoon to breakup kaise handle karun?,Apni zaati shanakht par tawajju dein. Purane shoq dubara hasil karein aur un doston ke saath waqt guzaarein jo aapko qadr den.,World Health Organization Mental Health Manual
Confabulation kya hai,"Yaadash ke khali hisson ko be-aagaah taur par jhootay, badal diye hue, ya galat tafseer shuda maloomat se bharna bina kisi zaati maqsad ke dhoka dene ka.",Oxford Textbook of Psychiatry
Muft ya kam lagat wali counselling kahan mil sakti hai?,"Zehni sehat ki khidmaat jaise counselling ya therapy aapke BC Medical Services Plan (MSP) ke zariye covered ho sakti hain jab aap kisi hospital ya mental health clinic se service hasil karte hain. Apne ilaqay ke health authority se rabta karein takay apne ilaqay mein counselling services ke bare mein maloomat hasil kar sakein. HealthLink BC ke Find Services tool aur Locator app bhi madadgar sabit ho sakte hain. Aksar programs ke liye doctor ka referral zaruri hota hai. Baghair referral ke private system se care leni parti hai, jo government funded nahi hota. Private mental health services mehangi ho sakti hain, jo achi dekhbhal dhoondhne mein rukawat paida karti hai. Seedha jawab nahi magar kai jagah hoti hain jahan aap dekh sakte hain. Agar aapke paas kaam se health benefits hain, to apne coverage ke bare mein maloomat lein. Kuch plans private counselling ya therapy sessions ko cover karte hain. Workplace Employee/Family Assistance Plan bhi kuch services ya community services ke liye referrals de sakta hai. Kuch psychologists, clinical counsellors, aur dusray providers sliding scale offer karte hain, matlab ke unki fees aapki aamdani par mabni hoti hai. Service providers se seedha rabta karein aur poochain ki kya wo sliding scale service dete hain. Vancouver mein aik private clinic mein low-cost counselling options ki achi list hai. Lower Mainland ke bahar ke log is list ko dekh kar apne ilaqay mein milti julti organizations dhoondh sakte hain. Mental health organizations jaise Anxiety Canada, Canadian Mental Health Association, BC Schizophrenia Society, Institute of Families for Child and Youth Mental Health, Mood Disorders Association of BC, ya Jessies Legacy se rabta karein. Wo shayad apke ilaqay mein khidmaat deti hon ya local contacts ki referral dein. Aap humein bhi email kar sakte hain aur hum aapke community ke liye recommendations dene ki koshish karenge.",World Health Organization Mental Health Manual
Main apni zehni sehat ke baare mein apne boss se baat cheet kaise shuru karoon?,Apni halat ka apni paidawariyat par asar par tawajjuh dein aur mukhtasir tor par wo khaas sahulatain batain jo aap ki performance behtar banane mein madadgar ho sakti hain.,World Health Organization Mental Health Manual
Verbigeration kya hai,"Khaas alfaaz ya be-maani guftagu ke tukdon ka lagataar, be-wajeh, aur automatic dohraana bina kisi khariji trigger ke.",Oxford Textbook of Psychiatry
Gut-brain axis ka function kya hai?,"Gut-brain axis aik pechida do simti raabta hai jo neural, endocrine, aur immune nizaamon ke zariye gut ko dimagh se jorta hai.",Lancet Psychiatry Clinical Evidence Database
Narcolepsy kya hai,"Ek neurological bemari jo bar bar aisi halat se juri hoti hai jisme neend ki zabardast zarurat mehsoos hoti hai, aur insaan din ke dauran bhi neend mein chala jata hai ya nap karta hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Imposter syndrome kya hai aur main ise kaise theek karoon?,Ye dar hai ke aapko fraud ke taur par expose kar diya jaye jabke aap kamyab hain. Apni kamyabiyaan ek win folder mein rakhein taake apni skills yaad rahein.,World Health Organization Mental Health Manual
How can I see a psychiatrist?,"A psychiatrist is a specialist doctor. In BC, you need to ask your doctor for a referral. If you dont see a regular family doctor, you can ask any doctor at a walk-in clinic for a referral. In some cases, you may be able to self-refer or make an appointment with a mental health program yourself, but that may not get you access to a psychiatrist. Contact your local mental health centre to see whats available in your area. If you need help finding your local mental health centre. also also you can talk to psycharist available online in our app",World Health Organization Mental Health Manual
Main sharaab ya nashili madon ke istemal ke maslay ke liye madad kaisay dhundhun?,"Kya aap apni substance use, jaise sharab ya doosre drugs, mein tabdeeli lana chahte hain? Yeh ek aham qadam ho sakta hai. Kuch log apni madon ki istemal kam kar lete hain ya khud se band kar lete hain ya self-help material ke zariye. Magar zyada tar logon ko doosron ki madad ki zarurat hoti hai - family ke members, dost, health professionals, ya aise log jo substance use ke masail ka samna kar rahe hain. Aap ke liye sahi madad kai cheezon par munhasir hai, un mein aap jo drug use kar rahe hain, kitna aur kitni dafa istemal karte hain, aapki sehat aur muashrati halat, aur aap ki pasand shamil hain. Madad lena aapki zindagi ke raaste par qaboo chor dena nahi hai. Aap hi aakhri faisla karne wale hain ke aap kaise aur kitni tabdeeli laiange. Ek tareeqa madad lene ka yeh hai ke kisi doktor se baat karein jise aap bharosa karte hain aur jise apne masail batane mein aap ko rahat mehsoos hoti hai. Kuch drugs ghair qanuni hain, is liye bohat logon ko darr hota hai ke agar wo apne drug use ka zikr karen to kya hoga. Yeh jaanna zaruri hai ke zyada ter cases mein doctors aap ki privacy ka tahaffuz karte hain - yeh kanoon hai.",World Health Organization Mental Health Manual
Hypnagogic Hallucination kya hai,"Ek zinda sensory ehsas jo poori jagradgi se neend ke inteqal ke dauran hota hai, jo mehfooz samjha jata hai magar narcolepsy mein aam hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Restless Legs Syndrome kya hai,"Taangon ko hilanay ki tamanna jo aam tor par bechaini ke ahsas ke sath hoti hai, aur ye aram ya bekaar rehnay ke dauran shuru ya zyada ho jati hai.",Mayo Clinic Psychiatry Reference Database
Kya creative shoqon se depression mein madad mil sakti hai?,"Ji haan, painting, moseeqi ya baghbani jaise funoon aise haalat paida karte hain jo manfi khayalat se door karte hain aur maharat barhati hain.",National Institute of Mental Health Clinical Guide
Zehni sehat ke masail kyun paida hote hain?,"Zehni sehat ke challenges ya masail zehniati, jismani aur samaji masail ke sath sath zindagi ke waqiat se bhi paida ho sakte hain.",World Health Organization Mental Health Manual
Labeling kya hai,Zeheni soch ka aik intihayi shakal jahan shakhs apne aik mehdood rawaiye ki bunyaad par apne liye ek aam manfi sawar chhapatay hai.,Beck Institute for CBT
Naye shehar mein tanhaai kaise jhootibara karoon?,"Maqami dilchaspi groups join karain, doston se milne ke liye apps istimaal karain, aur ek hi coffee shop baar baar jayein taake regular ban kar logon se mil saken.",World Health Organization Mental Health Manual
Fugue State kya hai,"Ek nadir dissociative bemari jo achanak, ghair mutawaqqa ghar se door safar aur apni pehchan ya guzishta tareekh ki amnesia ke sath hoti hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Apne liye ya apne bache ke liye zeheni sehat ka expert kaise dhoondh sakta hoon?,"Jis professional ke saath aap ya aapka bacha kaam kar raha hai us se comfortable feel karna ilaj ki kamyabi ke liye bohat zaruri hai. Jo professional aapki zarurat ke mutabiq ho, usse dhoondhna kuch tehqiqat talab kar sakta hai. Shuruaat apne ilaqay mein providers ki talaash karte hue karein.",World Health Organization Mental Health Manual
Zeheni bemari ki mani kya hoti hai?,"Zeheni bemariyan aise sehat ke halat hote hain jo shakhs ke khayalat, jazbat, rishtedari aur rozana zindagi ke funke munazzam karte hain. Ye pareshaani aur rozana zindagi ke mamul ke kam kaj mein kamzori se mutaalliq hoti hain. Zeheni bemariyan sakhti ke ek musir par hoti hain; kuch halki hoti hain aur sirf zindagi ke chand pehluon ko mushkil karti hain, jaise ke chand fobiyaan. Spectrum ke doosre kinaare par sangeen zeheni bemariyan hoti hain, jo bari ta'sir aur rozana zindagi mein badhawat paida karti hain. In mein bari depression, schizophrenia, aur bipolar disorder shamil hain, aur aksar shakhs ko aspatal mein ilaaj karna parta hai. Yeh zaruri hai ke jana jaye ke zeheni bemariyan tibbi halat hain jin ka shakhs ke kirdar, zaheenat, ya iradi quwwat se koi talluq nahin hota. Jaise ke diabetes pancreas ke fauad mein ek beemari hai, waise hi zeheni bemari dimagh ki biological halat ki wajah se hoti hai. Bil mushabahah jaise diabetes ka ilaaj dawa aur insulin se hota hai, zeheni bemari ka ilaaj dawaon aur samaji madad ke mubtadil tareeqe se hota hai. Ye ilaj bohat mofid hain, jahan 70-90 fisad afrad ko ilaj se apne alamat mein kami aur behtareen zindagi ka tajurba hota hai. Munasib ilaj ke sath, zeheni bemari shuda shakhs ke liye mustaqil aur kamyab hona bohat mumkin hai.",World Health Organization Mental Health Manual
Coping Mechanism kya hai,Kisi fard ke taraf se kiya gaya shauri ya ghair shauri rawayya aur zehni hikmat-e-amli jo shadid zaati ya baharooni stress parameters ko control karne ke liye istemal hota hai.,American Psychological Association Clinical Guidelines
Neologism kya hai,Aisi puri tarah nayi lafzon ya saakht ke ikhtira jo mareez banata hai aur jin ka maana sirf us ke liye mehfooz hota hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Altruism defense mechanism kya hai,Ek bohat zyada mature psychological defense mechanism jahan fard apni andarooni pareshani ko doosron ki zarooraton ko poora karnay mein lagakar handle karta hai.,American Psychological Association Clinical Guidelines
Kya kaam se mental health ke liye ek din ki chhutti lena faidemand hai?,"Jee haan, agar asal rest ya clinical appointments ke liye li jaye to yeh puri breakdown ko rok sakta hai aur lambi muddat mein productivity behtar bana sakta hai.",World Health Organization Mental Health Manual
Frontotemporal Lobar Degeneration kya hai,"Zehni behtari ka aik disorder hai jo dimag ke frontal aur temporal lobes ko mutasir karta hai, jis se samaji rawaiye, shakhsiyat, ya zuban mein gehri tabdeeliyan aati hain.",Lancet Psychiatry Clinical Evidence Database
Schizoid Personality Disorder kya hai?,Samaji talluqat se mukammal alag thalag rehne aur fardoni mohaul mein jazbati izhaar ki bohat mehdood range ka rawaiya.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Clang Association kya hai,Aisi guftagu mein lafzon ka intekhab unke aawazi sur ya qafiyati khoobi ki bunyaad par hota hai na ke mantiqi ya matn ke matlab par.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Delirium Tremens kya hai,"Sharaab chhorne ke dauran ek shadid aur jaan lewa halat jo gehri uljhan, khudkar hyperactivity, aur zinda tasavvurat wali hallusinations se numaya hoti hai.",Oxford Textbook of Psychiatry
