question,answer,reference
ما هو العلاج السلوكي الجدلي؟,العلاج السلوكي الجدلي هو أداة تعديل معرفي تستهدف تنظيم العواطف المزمنة وسمات الاضطراب الحدودي.,إرشادات الجمعية الأمريكية لعلم النفس السريرية
إذا شعرت بتحسن بعد تناول الدواء، هل هذا يعني أنني تعافيت ويمكنني التوقف عن تناوله؟,ليس من غير المألوف أن يتوقف الناس عن تناول أدويتهم عندما يشعرون أن أعراضهم تحت السيطرة. قد يختار آخرون التوقف عن تناول الدواء بسبب آثاره الجانبية، دون أن يدركوا أن معظم الآثار الجانبية يمكن إدارتها بشكل فعال. رغم أنه قد يبدو من المنطقي التوقف عن تناول الدواء، المشكلة هي أن الأعراض غالبًا ما تعود. إذا كنت أنت أو طفلك تتناول الدواء، من المهم جدًا أن تعملوا مع طبيبكم قبل اتخاذ قرارات بشأن أي تغييرات في العلاج. يجب أن تتحدث معهم عن حالتك إذا كانت هناك آثار جانبية تجعلك ترفض الاستمرار في العلاج. سيعملون معك لوضع استراتيجيات لتقليل هذه الآثار الجانبية أو لوضع خطة للانتقال إلى علاج مختلف يناسبك أكثر.,دليل الصحة النفسية لمنظمة الصحة العالمية
كيف يمكنني العناية بصحتي الجسدية؟,الاعتناء بصحتك الجسدية مفيد أيضًا لصحتك النفسية. أصبح من المهم أكثر من أي وقت مضى أن تحافظ على صحتك. حاول أن تأكل بأفضل شكل ممكن. قد يكون من السهل اللجوء إلى أطعمة الراحة والوجبات الخفيفة غير الصحية أثناء قضائك مزيدًا من الوقت في المنزل، لكن حاول الحفاظ على نهج متوازن. عندما تقوم بتخزين البقالة، لا تتجاهل الفواكه والخضروات الطازجة - ما زلنا نملك كل ما نحتاجه لتحضير الطعام. نظرًا لأننا نصحنا بتقليل الوقت الذي نقضيه في الأماكن العامة مثل محلات البقالة، فإن هذا وقت رائع لتجربة فواكه وخضروات جديدة تحافظ على صلاحيتها لفترات أطول في المنزل. إذا كان من الآمن لك البقاء في المنزل أو كنت في عزلة ذاتية، اطلب المساعدة. تقدم العديد من متاجر البقالة وخدمات تجهيز الوجبات توصيلًا آمنًا بدون تلامس. يمكنك أيضًا طلب من العائلة أو الأصدقاء إحضار البقالة، أو البحث عن مجموعات دعم محلية لكوفيد-19 على وسائل التواصل الاجتماعي. من الآمن أن يترك الآخرون الطعام واللوازم خارج بابك لتجنب نشر الفيروس. يعد التمرين جزءًا مهمًا من الصحة النفسية والرفاهية، وإدارة التوتر، والنوم الصحي. ومع ذلك، هو شيء يتخلى عنه الكثير من الناس عندما يبدأون في الشعور بالتوتر أو الإرهاق. إذا كان من الآمن لك، اقضِ وقتًا في الهواء الطلق. يجب أن تتجنب المناطق المزدحمة أو الجماعات وأن تبقى على بعد مترين على الأقل من الآخرين، لكن لا يوجد سبب لتجنب المشي أو الركض أو غيرها من الأنشطة الخارجية الآمنة. لاحظ أن بعض البلديات، وحدائق بريتيش كولومبيا، وباركس كندا قد قيدت بعض المساحات الخارجية لتقليل الازدحام، لذا تحقق من حالة المتنزهات أو المسارات المحلية واحترم الإغلاقات - فهم يحافظون على سلامة الجميع. إذا كنت تفضل التمرين في الداخل، يمكنك أيضًا العثور على دروس تمارين مختلفة عبر الإنترنت. يمكنك تجربة اليوغا، متابعة درس بار، العمل على تمارين القلب، تبني روتين دمبل جديد، ومتابعة تدريبات كروسفيت من راحة غرفة المعيشة الخاصة بك. ابحث عن روتينات أو دروس تمرين لا تتطلب معدات إذا لم يكن لديك معدات مسبقًا. يمكن أن تجعل قلة النوم حتى المشاكل البسيطة تبدو أسوأ بكثير مما هي عليه بالفعل. يؤثر قلة النوم على مزاجك، ونظرتك، وصبرك. للأسف، يمكن أن يؤثر التوتر والقلق بشدة على نومك. إذا كنت تجد صعوبة في النوم، كن استباقيًا وطبق عادات نوم صحية. للمزيد، اطلع على الوحدة الصحية 6 الحصول على نوم جيد ليلاً على www.heretohelp.bc.ca/wellness-module/wellness-module-6-getting-a-good-night's-sleep. إذا كنت تعاني من مشاكل صحية أخرى مثل مرض مزمن، تحقق مع طبيبك أو فريق الرعاية الصحية الخاص بك لترى ما إذا كنت بحاجة لاتخاذ تدابير أو احتياطات إضافية. تذكر التخطيط المسبق وابذل ما بوسعك للحفاظ على الأدوية الموصوفة أو التي تباع دون وصفة طبية، والإمدادات الطبية، والمكملات، أو الاحتياجات الصحية الأخرى في متناول اليد.,دليل منظمة الصحة العالمية للصحة النفسية
كيف أعرف إذا كنت مريضًا نفسيًا؟,إذا كان لمعتقداتك، أو أفكارك، أو مشاعرك، أو سلوكياتك تأثير كبير على قدرتك على الأداء بطريقة قد تُعتبر طبيعية أو عادية، فسيكون من المهم طلب المساعدة.,الدليل الإرشادي لمنظمة الصحة العالمية للصحة النفسية
ما الذي يحدد الفصام,الفصام هو اضطراب عصبي تطوري شديد يتميز بالأوهام، والهلوسة السمعية، وتأثير عاطفي مسطّح، وضعف في الوظائف التنفيذية.,دليل منظمة الصحة العالمية للصحة النفسية
ما أهمية الروتين للاستقرار النفسي؟,الروتين يقلل عدد القرارات التي تحتاج لاتخاذها يوميًا، مما يقلل العبء المعرفي ويوفر إحساسًا بالأمان.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هو التأثير المخفف,اضطراب عاطفي ينطوي على تقليل كبير في شدة التعبير العاطفي، رغم أنه أقل مطلقًا من التأثير المسطح.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الإصدار الخامس DSM-5
كيف أتعامل مع انفصال أشعر فيه بالضياع؟,ركّز على هويتك الفردية. اكتشف الهوايات القديمة وقضِ وقتًا مع الأصدقاء الداعمين الذين يجعلك تشعر بالقيمة.,دليل منظمة الصحة العالمية للصحة النفسية
ما هو التخيّل,الملء اللاواعي للفجوات في الذاكرة بمعلومات مختلقة أو مشوهة أو غير مفسرة بشكل صحيح بدون نية سريرية صريحة للخداع.,كتاب أكسفورد للطب النفسي
أين يمكنني العثور على استشارات مجانية أو منخفضة التكلفة؟,قد تغطي خدمات الصحة النفسية مثل الاستشارة أو العلاج من خلال خطة الخدمات الطبية في BC (MSP) عندما تصل إلى الخدمة عبر مستشفى أو عيادة الصحة النفسية. اعثر على السلطة الصحية المحلية الخاصة بك لمعرفة المزيد عن خدمات الاستشارة في منطقتك. أداة Find Services وتطبيق Locator من HealthLink BC يمكنهما أيضًا مساعدتك في العثور على الخدمات. غالبًا ما تحتاج إلى إحالة من الطبيب للوصول إلى هذا النوع من البرامج. بدون إحالة من الطبيب، تحتاج إلى الوصول إلى الرعاية عبر النظام الخاص، الذي لا تموله الحكومة. يمكن أن تكون خدمات الصحة النفسية الخاصة مكلفة. وهذا قد يكون عائقًا حقيقيًا لإيجاد رعاية جيدة. بينما لا توجد إجابة بسيطة، هناك عدة أماكن يمكنك البحث فيها: إذا كان لديك مزايا صحية في العمل، اسأل عن تغطيتك. بعض الخطط تغطي عددًا معينًا من جلسات الاستشارة أو العلاج الخاصة. بالإضافة إلى ذلك، قد يقدم برنامج مساعدة الموظفين/العائلة في مكان العمل بعض الخدمات أو قد يحيلك إلى خدمات المجتمع. قد يقدم بعض علماء النفس، أو المستشارين الإكلينيكيين، أو مقدمي الخدمات الآخرين مقياس تسعير متدرج، مما يعني أن تكلفتهم تعتمد على دخلك. جرب الاتصال بمقدمي الخدمات مباشرةً للسؤال عما إذا كانوا يقدمون مقياسًا متدرجًا. لدى إحدى العيادات الخاصة في فانكوفر قائمة جيدة من خيارات الاستشارة منخفضة التكلفة في منطقة فانكوفر. لأولئك خارج المنطقة السفلى، لا يزال بإمكانك الاطلاع على هذه القائمة ورؤية ما إذا كانت هناك منظمات مماثلة قد تكون في مجتمعك. اتصل بمنظمة صحة نفسية مثل Anxiety Canada، الجمعية الكندية للصحة النفسية، جمعية الفصام في BC، معهد العائلات لصحة الأطفال والشباب النفسية، جمعية اضطرابات المزاج في BC، أو Jessies Legacy. قد تقدم هذه المنظمات خدمات في منطقتك، أو قد يكون لديها اتصالات محلية يمكنها إحالتك إليها. يمكنك أيضًا مراسلتنا عبر البريد الإلكتروني وسنحاول تقديم بعض التوصيات لمجتمعك.,World Health Organization Mental Health Manual
كيف أبدأ محادثة عن صحتي النفسية مع رئيسي في العمل؟,ركز على كيف تؤثر حالتك على إنتاجيتك واقترح ترتيبات محددة يمكن أن تساعدك على الأداء بشكل أفضل.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هو التكرار اللفظي,التكرار المستمر، الغير منطقي، والآلي لكلمات محددة أو أجزاء كلامية بلا معنى بدون أي محفز خارجي.,كتاب أكسفورد لطب النفس
ما وظيفة محور الأمعاء-الدماغ,محور الأمعاء-الدماغ هو مسار اتصال ثنائي الاتجاه معقد يستخدم خطوط عصبية وهرمونية ومناعية لربط الأمعاء بالدماغ.,قاعدة بيانات الأدلة السريرية في علم نفس الطب لانسيت
ما هو النوم القهري,اضطراب عصبي يتميز بفترات متكررة من الحاجة الشديدة وغير القابلة للكبت للنوم، أو الدخول في النوم، أو القيلولة في نفس اليوم.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الطبعة الخامسة DSM-5
ما هو متلازمة المحتال وكيف أصلحها؟,هو الخوف من الكشف كخداع رغم النجاح. احتفظ بمجلد لانتصاراتك يذكرك بمهاراتك وإنجازاتك.,دليل الصحة النفسية لمنظمة الصحة العالمية
كيف يمكنني رؤية طبيب نفسي؟,الطبيب النفسي هو طبيب متخصص. في كولومبيا البريطانية، عليك أن تطلب إحالة من طبيبك. إذا لم ترَ طبيب عائلة منتظمًا، يمكنك طلب إحالة من أي طبيب في عيادة مباشرة. في بعض الحالات، قد تتمكن من الإحالة الذاتية أو تحديد موعد مع برنامج الصحة النفسية بنفسك، لكن ذلك قد لا يتيح لك الوصول إلى طبيب نفسي. اتصل بمركز الصحة النفسية المحلي لرؤية ما هو متوفر في منطقتك. إذا كنت بحاجة لمساعدة في العثور على مركز الصحة النفسية المحلي، يمكنك أيضًا التحدث مع طبيب نفسي متاح على الإنترنت في تطبيقنا.,دليل منظمة الصحة العالمية للصحة النفسية
كيف يمكنني إيجاد المساعدة لمشكلة تعاطي الكحول أو المخدرات؟,هل تسعى لإجراء تغييرات في طريقة استخدامك للمواد مثل الكحول أو المخدرات الأخرى؟ هذه قد تكون خطوة مهمة. يمكن لبعض الأشخاص تقليل استخدامهم للمخدرات أو الإقلاع نهائيًا بمفردهم أو بمساعدة مواد المساعدة الذاتية. لكن معظمنا يحتاج إلى دعم من أشخاص آخرين - أفراد الأسرة، الأصدقاء، المتخصصين في الصحة، أو أشخاص آخرين يعانون من مشاكل تعاطي المواد. المساعدة المناسبة لك تعتمد على عدة عوامل، منها نوع المخدر الذي تستخدمه، كم ومتى تستخدمه، وضعك الصحي والاجتماعي، وبالطبع تفضيلاتك الشخصية. الحصول على المساعدة لا يعني التخلي عن السيطرة على تشكيل طريقك الخاص. أنت الذي تتخذ القرارات النهائية بشأن نوع ودرجة التغيير الذي تقوم به. إحدى الطرق للحصول على المساعدة هي التحدث إلى طبيب تثق به وتشعر بالراحة في مشاركة مشاعرك معه. نظرًا لأن بعض المخدرات غير قانونية، يقلق الكثيرون بشأن ما قد يحدث إذا تحدثوا عن تعاطي المخدرات. من المهم أن تعلم أنه في معظم الحالات، يجب على الأطباء حماية خصوصيتك - هذا هو القانون.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هي الهلوسة النومية,إدراك حسي واضح يحدث خلال مرحلة الانتقال من اليقظة الكاملة إلى النوم، ويعتبر حميداً لكنه شائع في النعاس المفاجئ (الناركوليبسي).,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو متلازمة حركة الساقين غير المستقرة,رغبة ملحة في تحريك الساقين، عادةً ما تصاحبها أحاسيس غير مريحة، تبدأ أو تزداد سوءًا خلال فترات الراحة أو عدم النشاط.,قاعدة بيانات مرجعية لطب النفس من مايو كلينيك
هل يمكن للهوايات الإبداعية أن تساعد في علاج الاكتئاب؟,نعم، الأنشطة مثل الرسم، الموسيقى، أو البستنة توفر حالة تدفق تُشتت الانتباه عن الأفكار السلبية وتبني المهارة.,الدليل الإكلينيكي لمعهد الصحة النفسية الوطني
ما الذي يسبب مشاكل الصحة النفسية؟,يمكن أن تنشأ تحديات أو مشاكل في صحتك النفسية من قضايا نفسية، بيولوجية، واجتماعية، وكذلك من أحداث الحياة.,الدليل الإرشادي لمنظمة الصحة العالمية للصحة النفسية
ما هو التصنيف,شكل متطرف من التفكير الثنائي حيث يعلق الفرد تصنيفًا سلبيًا عامًا على نفسه بناءً على سلوك محلي محدد.,معهد بيك للعلاج السلوكي المعرفي
كيف أتعامل مع الوحدة في مدينة جديدة؟,انضم إلى مجموعات الاهتمام المحلية، استخدم التطبيقات للقاء الأصدقاء، وكرر زياراتك لنفس المقاهي لتصبح زبونًا معتادًا وتتعرف على الناس.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هي حالة الفوگ,اضطراب تفككي نادر يتميز بالسفر المفاجئ وغير المتوقع بعيدًا عن المنزل مصحوبًا بفقدان الذاكرة لهوية الفرد أو تاريخه الماضي.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
كيف يمكنني إيجاد متخصص في الصحة النفسية لي أو لطفلي؟,الشعور بالراحة مع المتخصص الذي تعمل معه أنت أو طفلك أمر حاسم لنجاح العلاج. قد يستدعي إيجاد المتخصص الذي يناسب احتياجاتك بعض البحث. ابدأ بالبحث عن مزودي الخدمة في منطقتك.,دليل الصحة النفسية لمنظمة الصحة العالمية
ماذا يعني أن يكون لديك مرض نفسي؟,الأمراض النفسية هي حالات صحية تعطل أفكار الشخص ومشاعره وعلاقاته ووظائفه اليومية. ترتبط بالضيق وتقليل القدرة على المشاركة في الأنشطة العادية للحياة اليومية. تقع الأمراض النفسية على طيف من الشدة، فبعضها خفيف نسبياً ويتداخل فقط مع بعض جوانب الحياة، مثل بعض أنواع الرهاب. في الطرف الآخر من الطيف، توجد الأمراض النفسية الخطيرة التي تؤدي إلى تدهور كبير في الوظائف وتداخل مع الحياة اليومية. وتشمل هذه الاضطرابات الاكتئاب الكبري، الفصام، واضطراب ثنائي القطب، وقد تتطلب أن يتلقى الشخص العلاج في المستشفى. من المهم أن نعرف أن الأمراض النفسية هي حالات طبية لا علاقة لها بشخصية الفرد أو ذكائه أو إرادته. تمامًا كما أن السكري هو اضطراب في البنكرياس، فإن المرض النفسي هو حالة طبية ناجمة عن بيولوجيا الدماغ. وبالمثل، كما يعالج السكري بالدواء والأنسولين، فإن المرض النفسي يعالج بمجموعة من الدواء والدعم الاجتماعي. هذه العلاجات فعالة جدًا، حيث أن 70-90 بالمائة من الأفراد الذين يتلقون العلاج يختبرون انخفاضًا في الأعراض وتحسنًا في جودة الحياة. مع العلاج المناسب، من الممكن جدًا أن يكون الشخص المصاب بمرض نفسي مستقلاً وناجحًا.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هو آلية التأقلم؟,أي استراتيجية سلوكية ومعرفية واعية أو لاواعية يستخدمها الفرد لإدارة ضغوط خارجية أو داخلية شديدة.,إرشادات الجمعية الأمريكية لعلم النفس السريرية
ما هو نيولوجيزم,اختراع كلمات جديدة تمامًا أو تركيبات هيكلية ابتكرها المريض وتحمل معنى محددًا فقط بالنسبة له.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو الإيثار كآلية دفاعية,آلية دفاع نفسية ناضجة جدًا يتعامل فيها الفرد مع القلق الداخلي من خلال تكريس نفسه لتلبية احتياجات الآخرين.,American Psychological Association Clinical Guidelines
هل من المفيد أخذ يوم راحة للصحة النفسية من العمل؟,نعم، إذا استُخدم للراحة الحقيقية أو المواعيد العلاجية، يمكن أن يمنع انهياراً كاملاً ويحسن الإنتاجية على المدى الطويل.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هو التنكس الفصامي الجبهي الصدغي,اضطراب معرفي عصبي يؤثر على الفص الجبهي والصّدغي في الدماغ، يؤدي إلى تغييرات عميقة في السلوك الاجتماعي، الشخصية، أو اللغة.,قاعدة بيانات الأدلة السريرية لطب النفس في لانست
ما هو اضطراب الشخصية الانطوائية,نمط من الانفصال التام عن العلاقات الاجتماعية ونطاق محدود جدًا من التعبير العاطفي في السياقات الشخصية.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو ارتباط كلانج,اختيار الكلمات المنطوقة بناءً أساساً على صوتها الصوتي أو جودتها القافية بدلاً من المعنى السياقي المنطقي.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو الهذيان الارتعاشي,تجلي خطير يهدد الحياة لانسحاب الكحول يتميز بالارتباك العميق، فرط النشاط اللاإرادي، وهلوسات بصرية واضحة.,كتاب أكسفورد في الطب النفسي
ما هو اضطراب الانفجار المتقطع,نوبات سلوكية متكررة تمثل فشلًا في السيطرة على الاندفاعات العدوانية، حيث يكون حجم العدوان غير متناسب بشكل صارخ.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الإصدار الخامس DSM-5
كيف أفرّق بين العادة الصحية والإدمان؟,الإدمان عادة ما يستمر رغم العواقب السلبية ويسبب ضيقًا كبيرًا عند محاولة التوقف.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هي الأعراض الإيجابية في الفصام,الأعراض الإيجابية تمثل تشويهًا للوظائف الطبيعية، بما في ذلك المعتقدات الخاطئة الثابتة، والهلوسات السمعية، والارتباطات الضعيفة.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو الاتصال بين صحة الأمعاء والصحة النفسية؟,الأمعاء والدماغ مرتبطان عبر العصب المبهم، والنظام الغذائي الصحي يمكن أن يحسن إنتاج السيروتونين ويوازن المزاج.,دليل الصحة النفسية لمنظمة الصحة العالمية
كيف يمكنني استخدام التشتيت لإدارة الأفكار أو المشاعر الصعبة؟,التشتيت هو أداة صالحة جدًا لمساعدتك على التأقلم عندما يبدو كل شيء مرهقًا أو عندما تشعر بالوحدة أو العزلة. إذا لم يكن لديك الكثير من الطاقة أو التركيز الآن، جرب تشتيتات منخفضة الجهد مثل مشاهدة التلفاز، تصفح اليوتيوب، الاستماع إلى بودكاست أو كتاب صوتي، لعب لعبة على هاتفك، قراءة كتاب أو مجلة سهلة، أو العمل على مشروع فني بسيط. إذا كان لديك المزيد من الطاقة والتركيز، امنح نفسك قائمة مهام يومية يمكنك التنظيف والعناية بالمشاريع حول منزلك، العمل على الهوايات، التواصل مع العائلة أو الأصدقاء، قراءة كتاب جديد ولحاق ببرامجك التلفزيونية المفضلة. يمكنك العثور على فرص مثيرة لأخذ دورات عبر الإنترنت من جامعات حول العالم من خلال الدورات المفتوحة عبر الإنترنت وغيرها من منصات التعلم، يمكنك تعلم لغة جديدة عبر الإنترنت أو من خلال التطبيقات، ويمكنك تعلم هوايات وأنشطة جديدة. مع اضطرار المزيد من الناس لممارسة التباعد الاجتماعي أو العزل الذاتي، يجد الناس طرقًا مبتكرة لجلب العالم إلى منازلهم - يمكنك زيارة المتاحف وصالات عرض الفن، التحدث عبر سكايب مع عالم، مشاهدة الحيوانات في حدائق الحيوان والمحميات الطبيعية، وأكثر. عندما تتعطل الجداول الطبيعية، من السهل الوقوع في عادات غير مفيدة. ابحث عن طرق للحفاظ على نفسك على المسار بالعادات الصحية. يمكنك تحديد أهداف كل يوم أو تحويل الأنشطة إلى مسابقة ممتعة مع الأصدقاء أو العائلة - من يأخذ أكبر عدد من دروس اللغة يفوز. تستخدم العديد من المجتمعات منصات التواصل الاجتماعي مثل فيسبوك لتنظيم الدعم والمساعدة للجيران. إذا كنت بصحة جيدة ومن الآمن القيام بذلك، يمكنك التسجيل للمساعدة في تمشية الكلاب، جلب البقالة واللوازم المنزلية، ومساعدة الآخرين الذين لا يستطيعون الخروج في الوقت الحالي. قد تكون هذه طريقة رائعة لتكوين علاقات جديدة في منطقتك، والمساعدة الآخرين جيدة لصحتك النفسية. فقط تأكد من اتباع ممارسات النظافة الجيدة والتباعد الجسدي - صحتك مهمة جدًا.,دليل منظمة الصحة العالمية للصحة النفسية
ما هو الكليبتومانيا,الفشل المتكرر في مقاومة الرغبة في سرقة أشياء ليس لها حاجة للاستخدام الشخصي أو لقيمتها النقدية، مدفوعًا بالتوتر.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الإصدار الخامس DSM-5
تم وصف مضاد اكتئاب أو دواء نفسي آخر لي ولكني لا أعتقد أنه يعمل. ماذا يمكنني أن أفعل؟,إذا كنت قلقًا بشأن أدويتك، من المهم التحدث مع الطبيب أو الطبيب النفسي الذي وصفها. قد يستغرق الأمر عدة أسابيع لرؤية تحسن مع العديد من مضادات الاكتئاب، لكن من الأفضل دائمًا التحدث مع طبيبك حول ما تتوقعه. تحدث مع الطبيب الذي وصف الدواء إذا واجهت أعراضًا أو آثارًا جانبية تزعجك. إذا أردت التحدث إلى مختص موثوق حول الآثار الجانبية الأكثر شيوعًا، اتصل بصيدليتك. من الأفضل أيضًا عدم التوقف عن تناول الدواء أو تغيير الجرعة بنفسك دون التحدث أولًا إلى مقدم الرعاية الصحية. قد يكون الإغراء كبيرًا للتوقف عن تناول الدواء عندما تبدأ في الشعور بتحسن، لكن من المهم اتباع تعليمات طبيبك. في بعض الحالات، قد يكون لدى الأشخاص رد فعل تحسسي تجاه الدواء. بعض ردود الفعل ليست خطيرة، مثل الطفح الجلدي.,المعهد الوطني للصحة النفسية دليل سريري
صباح الخير,صباح الخير. آمل أن يكون لديك يوم منظم ومتوازن أمامك.,إطار نظام OpenAI الإكلينيكي
ما هو الأكينيزيا,حالة من خلل الحركة تتميز بغياب ملحوظ أو نقص حاد في الحركة الطوعية الجسدية، شائع في متلازمة الشبيه بمرض باركنسون.,Oxford Textbook of Psychiatry
أين يمكنني العثور على مواد مساعدة ذاتية للاكتئاب؟,الموارد الذاتية ليست بديلاً عن التشخيص أو العلاج. إذا كانت لديك مخاوف بشأن المزاج المنخفض، من الأفضل التحدث إلى طبيبك أولاً واستبعاد الأسباب الجسدية لأعراضك. ومع ذلك، بعد مراجعتك للطبيب، يمكن أن تكون المواد المساعدة الذاتية طريقة رائعة لتعلم المزيد عن الاكتئاب وممارسة مهارات مختلفة بوتيرتك الخاصة أو بين جلسات العلاج. إليك بعض الموارد التي يمكنك الاطلاع عليها. دفتر مهارات مضادات الاكتئاب تم إنشاؤه بواسطة اثنين من علماء النفس في كولومبيا البريطانية. ستتعلم المزيد عن الاكتئاب، وتتدرب على مهارات مختلفة لتحسين مزاجك، وتتعلم كيف تؤثر التغييرات الصحية في أجزاء أخرى من حياتك على مزاجك. لديهم أيضًا دفاتر عمل مماثلة لمجموعات محددة: التعامل مع الاكتئاب مهارات مضادات الاكتئاب للمراهقين دفتر عمل للأشخاص الذين يعانون من مشاكل الاكتئاب في العمل يسمى مهارات مضادات الاكتئاب في العمل التعامل مع مشاكل المزاج في مكان العمل دفتر عمل للأمهات الحوامل أو الجدد يسمى إدارة الاكتئاب: مورد مهارات مساعدة ذاتية للنساء اللائي يعانين من الاكتئاب أثناء الحمل وبعد الولادة وما بعدها دفتر عمل للأشخاص الذين يعانون من مشاكل صحية يسمى التأقلم الإيجابي مع الحالات الصحية: دفتر عمل للعناية الذاتية على موقع HeretoHelp، تقدم سلسلة إدارة الاكتئاب ثلاث أوراق معلومات: التعامل مع تشخيص الاكتئاب، العمل مع طبيبك للاكتئاب، ومنع الانتكاس. تساعدك السلسلة على أن تكون شريكًا نشطًا في رعايتك الصحية، وبناء مهارات التأقلم الصحية واستراتيجيات الإدارة الذاتية، وغير ذلك. كثيرًا ما يؤثر الاكتئاب على تركيزك ودافعك للعمل من خلال المواد المساعدة الذاتية بمفردك. إذا رغبت في مواد مساعدة ذاتية مع دعم إضافي من شخص، فإن برنامج Bounce Back Reclaim Your Health هو برنامج مساعدة ذاتية موجه لسكان كولومبيا البريطانية الذين يعانون من اكتئاب خفيف إلى متوسط، أو مزاج منخفض، أو توتر، أو قلق. يمكنك الحصول على قرص DVD يحتوي على نصائح لمساعدتك على التعرف على أعراض الاكتئاب وإدارتها، أو يمكنك تعلم مهارات معمقة في سلسلة دفاتر عمل تكملها في المنزل. تعمل أيضًا مع مدرب مدرب من الجمعية الكندية للصحة النفسية يقدم الدعم والنصيحة عبر الهاتف أو مؤتمرات الفيديو. Bounce Back مجاني مع إحالة من طبيب. للمزيد من المعلومات، زر www.bouncebackbc.ca. إذا أردت الوصول إلى مواد Bounce Back بدون مدرب أو إحالة، يمكنك فعل ذلك عبر الإنترنت في كولومبيا البريطانية على www.bouncebackonline.ca. تمتلك جمعية اضطرابات المزاج في كولومبيا البريطانية عددًا من مقاطع الفيديو عن الصحة النفسية وطلب المساعدة ومواضيع أخرى. يحتفظ مركز موارد Kelty Mental Health أيضًا بقائمة شاملة من المواقع الإلكترونية وأدوات التدريب والكتب والموارد الأخرى للشباب والعائلات. يقدم موقع Heads Up Guys نصائح واستراتيجيات للحياة الصحية للرجال الذين يعانون من الاكتئاب. يحتوي برنامج الصحة النفسية الإنجابية التابع لخدمات الصحة النفسية وتعاطي المواد في كولومبيا البريطانية على دليل إدارة ذاتية للنساء اللائي يعانين من اكتئاب ما بعد الولادة يسمى التأقلم مع الاكتئاب أثناء الحمل وما بعد الولادة. لديهم أيضًا دليل للنساء الأصلية وعائلاتهن يسمى الاحتفال بدائرة الحياة: العودة إلى التوازن والانسجام. الموارد التالية مبنية خارج كولومبيا البريطانية، لكنها تقدم الكثير من المعلومات الجيدة. MoodGYM هو برنامج تدريب ذاتي قائم على الويب للأشخاص الذين يعانون من الاكتئاب. مقرّه في أستراليا ولكنه متاح مجانًا للجميع. Moodjuice هو مبادرة بريطانية تقدم دفاتر عمل مساعدة ذاتية، بما في ذلك واحدة للاكتئاب. هناك العديد من الكتب ودفاتر العمل المتاحة لمساعدة الأشخاص الذين يعانون من الاكتئاب. تحدث إلى فريق الرعاية الصحية النفسية الخاص بك للحصول على التوصيات. يمكنك العثور على العديد منها في مكتبتك المحلية أو المكتبات المتخصصة في الصحة النفسية مثل مكتبة Odin في فانكوفر، كما يمكنك الطلب عبر الإنترنت. داخل كولومبيا البريطانية، يمكنك أيضًا استعارة الكتب مجانًا من مركز دعم موارد الأسرة في مستشفيات الأطفال والنساء في كولومبيا البريطانية. لديهم العديد من المواد المساعدة الذاتية ومرجعية عن الاكتئاب للنساء وشركائهن، وللآباء، وللأطفال والشباب.,الدليل السريري للمعهد الوطني للصحة النفسية
