Questions,Answers,References
Im a young person and one of my parents has a mental illness. What can I do?,"Someone elses illness is not your fault. You also cant control how someone else feels, their illness, or the things they do or say. What you can do is take care of yourself. Learning more about your parents illness can make it a bit easier to understand what they experience. On this website, you can find easy-to-read booklets on mental illnesses as well as longer info sheets on many different mental illnesses. Its important to take care of yourself, too A lot of people have a big mix of feelings when a parent isnt well. You might feel angry, embarrassed, scared, or many other things. These feelings and experiences can have a big impact on the way your think about yourself and other people. When youre on an airplane and the flight attendants go through the safety demonstration, they tell you to put your own oxygen mask on before your help other people. Thats because its hard to help someone else if you arent well yourself. Here are some programs specifically for young people Kids in Control Support Group Program from the BC Schizophrenia Society helps children and youth ages 8-18 understand mental illnesses, cope with challenges, and take care of their own health and well-being.",World Health Organization Mental Health Manual
"I have thoughts of suicide, or someone I care about is talking about suicide. What should I do?","Its scary to have thoughts of suicide or hear that someone you can care about has thoughts of suicide. Thoughts of suicide dont mean that someone will end their life, but its a sign that they need extra help or support. If you have thoughts of suicide, its important to talk with your doctor or mental health service provider. If youre supporting someone else, encourage them to seek help. Coping With Suicidal Thoughts is a good resource to help you understand and manage difficult feelings.",World Health Organization Mental Health Manual
"Cannabis is legally allowed to 19 but there are doctor groups saying its potentially harmful to age 25. Any use or certain use? Whats myth and whats fact? If Im a parent, what should I tell my young adult?","Using cannabis has the potential for benefits and harms. Young people use cannabis, like other psychoactive drugs, to feel good, to feel better, to do better or to explore. Trying cannabis out of curiosity, as an experiment, or while socializing with friends, is related to moderate use and lower potential for harm. Using cannabis to cope with daily life, deal with unpleasant feelings, or fit in with a social group has higher potential for harm. This is because dealing with these kinds of issues is associated with frequent and heavier use, less thought about potential harms and little consideration of alternatives for coping such as talking with a parent or trusted adult or physical activity with friends. Evidence suggests that the younger a person is when they start using cannabis and the more often they use, the greater the potential for harms. The legal age to use cannabis in BC is 19. However, our brains do not finish developing until about age 25. Delaying cannabis use until early adulthood may reduce potential harmful effects on the brain. Some young people, especially those with many factors predisposing them to serious and persistent mental health issues, should probably not use cannabis. Cannabis has been associated with an increased risk for psychosis and schizophrenia in this small group of people. Some people with serious mental health issues have also reported that using cannabis has helped them cope with their illness by helping them feel less anxious or stressed. As in most situations, balancing potential benefits and harms of using cannabis will be key for young people who have serious mental health concerns. Mixing drugs, such as cannabis and alcohol, can also increase the possibility of experiencing harms. Intoxication may be more intense and long lasting and the young person may not appreciate how impaired they are. We often suggest, Not too much, not too often, and only in a safe context as a simple way to gauge your use of any psychoactive substance. As a parent or caring adult, an open respectful relationship with a young person is one of your best resources and ways to prevent harms from substance use. Letting the youth know they can approach you at any time to talk about cannabis, other substances, or anything else of concern to them, says they matter to you and you are ready to listen and engage in dialogue with them.",World Health Organization Mental Health Manual
Whats the difference between mental health and mental illness?,"Mental health and mental illness are increasingly being used as if they mean the same thing, but they do not. Everyone has mental health, just like everyone has health. As the World Health Organization famously says, There is no health without mental health. In the course of a lifetime, not all people will experience a mental illness, but everyone will struggle or have a challenge with their mental well-being i.e., their mental health just like we all have challenges with our physical well-being from time to time. When we talk about mental health, were talking about our mental well-being our emotions, our thoughts and feelings, our ability to solve problems and overcome difficulties, our social connections, and our understanding of the world around us. A mental illness is an illness the affects that way people think, feel, behave, or interact with others. There are many different mental illnesses, and they have different symptoms that impact peoples lives in different ways. Health isnt like an onoff switch. There are different degrees of health. People move on a continuum ranging from great or good health to so-so health to poor health to illness or disability. For example, some people have good health and have no problems going about their lives. Some people experience serious health problems, and their poor health has a very negative impact on their life. Some people have serious health problems that last for a long time, and others have serious health problems that resolve very quickly. Many people fall somewhere in the middletheyre generally in good health, though the occasional problem may come up. Mental health is the same way. Just as someone who feels unwell may not have a serious illness, people may have poor mental health without a mental illness. We all have days where we feel a bit down, or stressed out, or overwhelmed by something thats happening in our lives. An important part of good mental health is the ability to look at problems or concerns realistically. Good mental health isnt about feeling happy and confident 100 of time and ignoring any problems. Its about living and coping well despite problems. Just as its possible to have poor mental health but no mental illness, its entirely possible to have good mental health even with a diagnosis of a mental illness. Thats because mental illnesses like other health problems are often episodic, meaning there are times episodes of ill health and times of better or good health. With the right supports and tools, anyone can live wellhowever they define welland find meaning, contribute to their communities, and work towards their goals.",World Health Organization Mental Health Manual
Where can I find more information about depression?,"Our info sheets on mood disorders, bipolar disorder, and depression offer information on mood problems, treatment options, and resources . We also offer What is Depression? IThe adult depression tool also screens for signs of bipolar disorder. If you want to go beyond the basics, our Managing Depression series can help you deal with a diagnosis of depression, work with doctor, and prevent relapse of depression. Youll also find many experiences and perspectives around depressionreading personal stories can help you feel less alone.",National Institute of Mental Health Clinical Guide
Whats the difference between anxiety and an anxiety disorder?,"Anxiety is a normal reaction to many different kinds of events and situations in our lives. Anxiety is one of our internal warning systems that alerts us to danger or other threats and prepares our bodies to fight back or get out of a dangerous situation. Scientists call this the fight, flight, or freeze response. A manageable amount of anxiety from time to time can be helpful. For example, it can motivate you to prepare for a test a school or finish a task at work. Even happy events like moving to a new home or celebrating an important milestone can bring up anxietyall of this is just part of being human. Anxiety is a problem when it becomes overwhelming or unmanageable and it comes up unexpectedly. Anxiety disorders are mental illnesses that have a big impact your life. People may avoid going about their daily lives in order to avoid anxiety. They may experience a lot of uncomfortable physical sensations and physical health problems. Many people say that they know their anxiety isnt based in reality, but they feel trapped by their thought and feelings. Anxiety disorders can be treated. Its important to seek help if youre concerned about anxiety in your life. When someone experiences an anxiety disorder... Anxiety may come up unexpectedly, for seemingly no reason The anxiety response to a situation or problem may be much stronger that they would expect They may experience a lot of unrealistic anxiety, such as fear of a situation that likely will never happen Anxiety may last for a long time, even when the situation or problem has been resolved Anxiety may feel impossible to control or manage They may avoid situations or things that they believe to trigger anxiety symptoms Heres an example of normal anxiety and an anxiety disorder. Many people are a bit nervous about flying, which is a totally normal reaction. Yet, if they have to travel for work, they can can get on a plane without any problems. Someone with an anxiety disorder, on the other hand, may not be able to travel to the airporteven if it puts their job in jeopardy.",National Institute of Mental Health Clinical Guide
Whats the difference between anxiety and stress?,"Stress and anxiety are often used interchangeably, and there is overlap between stress and anxiety. Stress is related to the same fight, flight, or freeze response as anxiety, and the physical sensations of anxiety and stress may be very similar. The cause of stress and anxiety are usually different, however. Stress focuses on mainly external pressures on us that were finding hard to cope with. When we are stressed, we usually know what were stressed about, and the symptoms of stress typically disappear after the stressful situation is over. Anxiety, on the other hand, isnt always as easy to figure out. Anxiety focuses on worries or fears about things that could threaten us, as well as anxiety about the anxiety itself. Stress and anxiety are both part of being human, but both can be problems if they last for a long time or have an impact on our well-being or daily life.",National Institute of Mental Health Clinical Guide
Whats the difference between sadness and depression?,"Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. Other ways to talk about sadness might be feeling low, feeling down, or feeling blue. A person may say they are feeling depressed, but if it goes away on its own and doesnt impact life in a big way, it probably isnt the illness of depression. Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. Its much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life suicide. Depression lasts longer than two weeks, doesnt usually go away on its own, and impacts your life. Its a real illness, and it is very treatable. Its important to seek help if youre concerned about depression.",National Institute of Mental Health Clinical Guide
What is dysthymia or persistent depressive disorder?,"Dysthymia, now called persistent depressive disorder or PDD, is a mood disorder. It is related depression major depressive disorder. The difference between the two is in the number of symptoms and the amount of time that they last. Someone diagnosed with PDD would experience two to four of the symptoms below for at least two years with no periods of wellness during that time, while someone diagnosed with major depressive disorder would experience five or more of the symptoms below for at least two weeks. Symptoms of PDD include There is a myth that PDD is not as severe an illness as major depressive disorder, but research shows that the disability of the illness, like the ability to work productively and enjoy hobbies, may be as severe in PDD as it is in major depressive disorder. As PDD involves a smaller number of symptoms that last for a very long time, many people begin to assume PDD is just part of their personality rather than an illness that can be effectively treated. So you should most certainly talk to a doctor or mental health professional if you think you might have PDD.",National Institute of Mental Health Clinical Guide
What is cyclothymic disorder?,"Cyclothymic disorder is a subtype of bipolar disorder. Much like bipolar disorder, the symptoms of cyclothymia include three or more symptoms of hypomania, and five or more symptoms of depression. Like bipolar disorder, people may experience wellness between episodes of hypomania and depression. Symptoms of hypomania include Symptoms of depression include Talk to a doctor or mental health professional if you think you might have cyclothymic disorder.",World Health Organization Mental Health Manual
What does rapid cycling mean?,"Rapid cycling means that someone diagnosed with bipolar disorder or depression experiences four or more episodes of depression andor mania in one year. Rapid cycling can happen any time someone experiences bipolar disorderabout 10-20 of people diagnosed with bipolar disorder experience rapid cycling at some point. In many cases, rapid cycling eventually goes away on its own and people return to a pattern of longer and less frequent episodes.",World Health Organization Mental Health Manual
Where can I find information and help for borderline personality disorder?,"Borderline personality disorder or BPD is a treatable illness. Its made up of five groups of symptoms around behaviours, emotions, relationships, sense of identity, and awareness. You can read our info sheet on borderline personality disorder.",World Health Organization Mental Health Manual
What is schizoid personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. Schizoid personality disorder or SPD affects social interactions and relationships. People with SPD may have a hard time relating to others and showing emotions. They may avoid close relationships and prefer to spend their time alone, seeming distant even to close family members. Many people dont respond to strong emotions like anger, even when others try to provoke them. On the outside, people with SPD may seem cold or aloof, showing little emotion. While they have a similar name, schizoid personality disorder isnt the same as schizophrenia. Schizoid personality disorder is believed to be relatively uncommon. While some people with SPD may see it as part of who they are, other people may feel a lot of distress, especially around social interactions. Some medications may help people manage symptoms and psychotherapy may help people build new skills and improve relationships. To find help for schizoid personality disorder, talk to your family doctor, find a psychologist",World Health Organization Mental Health Manual
What is antisocial personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. Antisocial personality disorder or ASPD affects the way people think about the rights of others. Someone with ASPD may disregard laws or expectations, lack remorse when they hurt others or break the law, make reckless decisions, and believe they are superior to others. People may see someone with ASPD as overly dramatic, impulsive, manipulative, and deceitful. Some people may appear charming, at least on the surface. Like all mental illnesses, antisocial personality disorder is a spectrum. Some people may only occasionally act out, while others may break the law often and spend a lot of time in the criminal justice system. ASPD is only diagnosed in adults, but people with ASPD start to have problems with conduct or antisocial behaviours at a young age. They may be diagnosed with conduct disorder during childhood. Treatment for antisocial personality disorder, usually psychotherapy, can help reduce the harms of ASPD and help people build empathy towards others. ASPD is treatable and it may improve as a person approaches middle age. All of us have hurt someone else or acted without thinking of others needed. Its important to remember that antisocial personality disorder is an enduring pattern around lack of empathy and lack of remorse. Only a doctor or mental health professional can diagnose illnesses like ASPD.",World Health Organization Mental Health Manual
What is obsessive-compulsive personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. Obsessive-compulsive personality disorder or OCPD is about control. People with OCPD have very inflexible thinking and expect everything to be ordered, perfect, and done their correct way. This happens at the expense of other important things in life, including relationships with others. Work can take priority over every other part of life, too, and people with OCPD may seem excessively dedicated, but may be unable to complete tasks due to perfectionism. They may struggle to delegate and may distrust other peoples contributions. People with OCPD may not tolerate uncertainty and may have a very rigid understanding of the worldsomething is either right or wrong. They may also have a hard time spending money on themselves or others, and they may experience hoarding, the inability to throw away items from their homes. The conflict between the desire for neatness or order and the inability to throw things out may cause a lot of anxiety. While obsessive-compulsive personality disorder and obsessive-compulsive disorder OCD have a similar name, they are not the same illness. People with obsessive-compulsive disorder usually understand that their obsessions and compulsions are illogical and usually experience a lot of distress, even though they may not be able to stop obsessions or compulsions. Compulsions are an attempt to reduce anxiety, not to find pleasure. People with obsessive-compulsive personality disorder may view their thoughts as part of who they are, see their thoughts as logical, and may find pleasure or benefit in completing compulsive tasks. They may experience a lot of distress when they cant achieve control or the perfectionism they want. Obsessive-compulsive personality disorder is one of the most common personality disorders. Treatment may include some combination of psychotherapy, medication, and self-help strategies. To find help for OCPD, talk to your family doctor, find a psychologist",World Health Organization Mental Health Manual
What is binge-eating disorder?,"Binge-eating disorder or BED is a type of eating disorder. It involves episodes of eating a lot of food in a short amount of time, past the point of feeling full, and feelings of being out of control or unable to stop eating. People who experience binge-eating disorder may binge even when they dont feel hungry. They may feel temporarily comforted by food, and then feel depressed, upset, guilty, or ashamed of their eating. As a result, many people try to keep binge-eating symptoms a secret. You cant tell if someone experiences binge-eating disorder just from the way they look or the way they eat around others. While a lot of people have the experience of eating too much a few times and feeling uncomfortable after, people who experience binge-eating disorder experience many binges for a long period of time. Binge-eating disorder is treatable. Talk to your doctor or a mental health professional if you think you might have binge-eating disorder.",World Health Organization Mental Health Manual
Whats the difference between dissociative identity disorder multiple personality disorder and schizophrenia?,"Sometimes, people confuse dissociative identity disorder, formerly known as multiple personality disorder, and schizophrenia. Schizophrenia does mean split mind, but the name was meant to describe the split from reality that you experience during an episode of psychosis, as well as changes in thoughts, emotions, and other functions. Dissociative identity disorder, on the other hand, does cause a split or fragmented understanding of a persons sense of themselves. Dissociative identity disorder is really more about fragmented identities than many different personalities that develop on their own. Most people see different parts of their being as part of the whole person. For people who experience DID, identity fragments may have very different characteristics, including their own history, identity, and mannerisms. A key part of DID is dissociationfeeling detached to the world around you. People who experience DID may have many unexplainable gaps in their memory, forget information theyre already learned, or have difficulties recalling things theyve said or done. Unlike portrayals of DID on TV or in movies, DID may not be obvious to others, and it can take a lot of time to come to the diagnosis. Schizophrenia is a serious mental illness that causes hallucinations sensations that arent real and delusions beliefs that cant possibly be true, in addition to other symptoms like jumbled thoughts, jumbled speech, and difficulties expressing emotions. People who experience schizophrenia may hear or feel things that arent real or believe things that cant be real, but these arent separate identities.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Whats the difference between psychosis and schizophrenia?,"Psychosis is a syndrome or group of symptoms. Someone experiencing an episode of psychosis is having a break with reality. Major symptoms of psychosis are hallucinations and delusions. Hallucinations are sensations that are not real, such as hearing voices or sounds that arent real. Hearing voices is a common hallucination, but hallucinations can be experiences with any sensehearing, sight, smell, taste, or touch. Delusions are strong beliefs that cant possibly be true. Common delusions include the belief that someone is following or monitoring you, or the belief that you have extraordinary powers or abilities. Other symptoms of psychosis include difficulties concentrating, completing tasks, or making decisions. Thoughts may feel jumbled or confused. Some people have a hard time following conversations or speaking clearly. Psychosis can even affect the way people move or express their emotions. Schizophrenia is a mental illness that causes psychosis, but schizophrenia also has other symptoms. And it isnt the only cause of psychosis. In some cases, other mental illnesses cause psychosis, including depression, bipolar disorder, dementia and borderline personality disorder. Psychosis may come up during times of extreme stress, a major lack of sleep, or trauma. People who are using or withdrawing from certain drugs or medications may experience psychosis. Psychosis may also be caused by a brain injury, neurological problem, or other health problem. So while psychosis can be a part of schizophrenia, it can be caused by many other things too. Psychosis and schizophrenia are treatable. Its important to seek help as soon as possible.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
What are positive and negative symptoms?,"Positive and negative symptoms are medical terms for two groups of symptoms in schizophrenia. Positive symptoms add. Positive symptoms include hallucinations sensations that arent real, delusions beliefs that cant be real, and repetitive movements that are hard to control. Negative symptoms take away. Negative symptoms include the inability to show emotions, apathy, difficulties talking, and withdrawing from social situations and relationships. There is also a third group of symptoms, usually called cognitive symptoms. This includes anything related to thinking, such as disorganized thoughts, memory problems, and difficulties with focus and attention.",World Health Organization Mental Health Manual
What is a prodrome?,"Prodrome is a medical term for early signs or symptoms of an illness or health problem that appear before the major signs or symptoms start. Psychosis, a group of symptoms found in disorders like schizophrenia, is one illness with a specific prodrome. With psychosis, prodrome signs and symptoms start before full symptoms like hallucinations and delusions appear. Common symptoms in the prodrome of psychosis include These symptoms are found in many other mental illnesses, so it isnt always clear at the time if this is a prodrome of psychosis or schizophrenia or something else. Its best to seek help whenever you are concerned about your mental health or a loved ones mental health. Psychosis and schizophrenia are much easier to manage and treat when treatment starts early.",World Health Organization Mental Health Manual
Im an adult and I think I might have ADHD. What can I do next?,"While we think of attention-deficithyperactivity disorder as an illness that affects children, it can last into adulthoodand some people arent diagnosed until much later in life. ADHD is diagnosed like any other mental illness, so your family doctor is a good place to start. Your family doctor may be able to assess your mental health and start treatment, if needed, or they may refer you to more specialized mental health services. There are a few organizations that can help you find good resources and find some support The Canadian Attention Deficit Hyperactivity Disorder Resource Alliance CADDRA is an organization that supports health professionals who research ADHD, treat and support people diagnosed with ADHD, and trains professionals. In the Public Info section of their website, youll find more information on adult ADHD and the assessment process. They have a section on their website for adults, including information on symptoms and assessments, treatments, ADHD in the workplace, resources, and a reading list.",World Health Organization Mental Health Manual
Whats the difference between substance use and addiction?,"People tend to use the word addiction to mean very different things. I am addicted to shopping might mean only that the speaker likes to shop. On the other hand, He is addicted might mean the speaker thinks the other person is completely unable to control his own behaviour. When people use the word about psychoactive mind-altering substances like alcohol, tobacco, or other drugs, they often assume these drugs are dangerous and have the power to control human behaviour. The evidence, however, suggests a quite different picture. While substance use can clearly contribute to health and social problems, substances can be beneficial for some people in some situations. Many people celebrate a special occasion with a nice glass of wine, for example. Some people use tobacco as a powerful symbol in cultural and spiritual ceremonies. In fact, substances have been used by humans throughout history for many reasons to feel good, to feel better, to improve performance, for culturalspiritual reasons, and to have new experiences. Substance use is more complicated than just good or bad. Its helpful to think of substance use along a continuum, from beneficial use to harmful use. Along the middle of the continuum, substance use may be both beneficial and harmful. You have an enjoyable night out with friends, but feel a little ill the next day. At the far end of the continuum, some people develop dependencethey need to continually use the drug in order to feel normal and will keep using even when that leads to financial difficulties, problems at home or at work, health problems, or legal problems. In general, substance use is a problem when it causes problems for you or othersand how much use causes problems will be different for different people in different situations. The reason a person uses a substance influences the risk of developing problems. For instance, if a person uses a substance to have fun, only occasional social use may follow. But when a person uses a substance to cope with a long-term problem such as social anxiety, then more long lasting and intense use may follow. Managing our risk involves being aware of why we are using and what impacts our use is having on ourselves and those around us. The wisdom of our ancestors suggests a guiding principlenot too much, not too often, and only in safe contexts.",World Health Organization Mental Health Manual
How can I find help for an alcohol or drug use problem?,"Seeking to make changes in the way you use substances like alcohol or other drugs? This can be an important step Some people are able to reduce their substance use or quit altogether on their own or with self-help materials. But most of us need support from other peoplefamily members, friends, health professionals, or other people struggling with substance use problems. The right help for you depends on many factors. These include the type of drug you are using, how much and how often, your health and social situation and, of course, your own preferences. Getting help doesnt mean giving up control of shaping your own path. You are still the one who makes the final decisions about the type and degree of change you make. One way to get help is to talk to a doctor you trust and feel comfortable confiding in. Since some drugs are illegal, many people worry about what might happen if they talk about drug use. Its important to know that in most cases, doctors have to protect your privacyits the law.",World Health Organization Mental Health Manual
How do I know if Im drinking too much?,"Sorting out if you are drinking too much can be complicated. You are unique and your relationship with alcohol is unique. No one has the same combination of life experiences and influences that you do. So even though you and your friend may choose to drink, how and why you use alcohol may be different. Those of us who drink, seek benefits from alcohol, not difficulties. But sometimes we start using more, and more often, than makes sense. As a general rule, drinking alcohol becomes a problem when it negatively affects our life or the lives of others. Many people imagine this refers to people who consume alcohol all day every day. But even drinking too much on a single occasion can lead to a problem, for instance making a poor decision such as driving while impaired. Whats also important to recognize is the potential for negative consequences related to drinking in various contexts i.e., places, times and activities and over time e.g., coping with chronic problems.",World Health Organization Mental Health Manual
"If cannabis is dangerous, why are we legalizing it?","Cannabis smoke, for example, contains cancer-causing toxins. However, the risk of developing some cancers e.g., mouth, tongue and lung is less for cannabis smokers than tobacco smokers, partly because they tend to smoke less than tobacco users. And, while all drugs have an effect on the brain, the particular properties of the drug influence the level of risk of harmful consequences. The negative effects of cannabis on the brain, for example, seem to be less than the effects of some substances such as alcohol. Legalizing cannabis provides an opportunity to put in place regulations to minimize potential harms. The danger of buying and using any illegal drug is that we can never know for sure what exactly is in it.",World Health Organization Mental Health Manual
How can I convince my kids not to use drugs?,"You cant. But you can influence their capacity to make good choices in a world where alcohol and other drugs are available. Its about helping your child develop the skills to assess what might be helpful in achieving their goals in life. Its also about nourishing a supportive relationship, so they know where to go with questions or problems. Opening up a discussion about drugs can help strengthen your relationship with your child. Inviting and allowing open, honest conversation about drugs or any other subject makes your child know that what they are thinking, feeling and experiencing matters to you. The goal is to get your child talking and sharing their thoughts and feelings. When young people are asked thoughtful, open-ended questions exploring what they think, it helps them become interested in their own thoughts and behaviour. This process of self-reflection is part of developing critical thinking skills, a part of good decision-making. Critical thinking skills are actually an essential part of reducing the risks related to using drugs. Once young people have considered something carefully, they are a lot less likely to act out of impulse or in response to influence. There is no rule about how or where a conversation about alcohol or other drugs should start. Even young children know drugs are a part of our culture. They see people drinking around them and are exposed to drugs on TV and in advertising. This makes it a subject that can be brought up naturally while getting ready for a family celebration where alcohol will be present, or if you are planning to visit a relative who uses tobacco, or while swapping stories at the dinner table about what happened at work and school that day. Talking with teens and young adults about drugs as they make choices on the path into adulthood helps them to develop personal standards, minimize risks and critically assess popular beliefs about drug use. This can be particularly important as they transition to the legal age for using alcohol or cannabis and move out of the family home. While young adults have more independence and more legal rights, parents can continue to be an important sounding board on which to try out their thoughts and ideas.",World Health Organization Mental Health Manual
What is the legal status and evidence of CBD oil?,"Cannabidiol or CBD is a naturally occurring component of cannabis. It is extracted from the cannabis plant and often made into an oil for use. CBD is not psychoactive, and does not produce the high of THC tetrahyrocannabinol, the primary psychoactive component of cannabis. CBD is legal in Canada and has been used in the treatment of various medical conditions. All cannabinoids, including CBD, produce effects in the body by attaching to certain receptors in the brain or immune system. The human body also produces its own cannabinoids. It seems that CBD does not attach directly to receptors. Instead, it directs the body to use more of its own cannabinoids to produce the therapeutic effects associated with CBD. Research suggests that CBD may provide relief for chronic pain.",World Health Organization Mental Health Manual
What is the evidence on vaping?,"Vaping is the term for using a device where liquids, often flavoured, are turned into vapour hence, vaping and inhaled. A vaping device consists of a mouthpiece, tank or reservoir to hold the liquid, a heating element and a battery to power the element. The liquid is heated to become a mist, inhaled through the mouth into the lungs where the nicotine or cannabis enters the bloodstream. Any residual vapour is exhaled. Vaping devices come in several types, shapes, and sizes, referred to as e-cigarettes, vape pens, vapes, mods, tanks, or e-hookahs. Vaping liquid e-liquid, e-juice consists of a solvent, usually propylene glycol or glycerol, flavour, and nicotine or cannabis, though it may not contain anything. In British Columbia you must be 19 years old to buy vaping products. The number of young people who smoke cigarettes has declined over the past few years, while vaping has increased. E-cigarettes were developed as an alternative to smoking. The first devices were available in 2003 and looked much like a traditional cigarette. Nicotine vapour contains significantly fewer toxins and other particles than smoke from cigarettes. Vaping is a less harmful alternative to cigarettes and evidence suggests, it may help some people quit smoking. Evidence suggests vaping is likely not a gateway to smoking tobacco. Though less harmful than smoking cigarettes, vaping still carries potential harms. There is a small exposure to nicotine and possible carcinogens in the vapour. A carcinogen is a substance that has the potential to cause cancer. Some evidence suggests that young people may be unaware the vaping liquid often contains nicotine. E-cigarettes are not controlled and the nicotine content of vaping liquids varies significantly among brands. Other chemicals, flavourings, and heavy metals present in vaping liquids, have not as yet been well studied. Long-term health risks from vaping are thus undetermined. More research is needed in these areas. Marketing strategies for vaping products, often on social media, are designed to appeal to young people. The range of flavours available, especially those that are fruity and sweet, and the look and feel of vaping devices attract youth. Young people can see vaping as fun and a way to socialize with friends and smoke in a less harmful way. Making the time and space for discussion and exploring the issues around vaping is one important way we can support young people and indeed, each other, in making good decisions about if, when, or how much to vape. We offer, not too much, not too often, and in a safe context as one way to think about using any substance.",World Health Organization Mental Health Manual
How do I start a conversation about my mental health with my boss?,Focus on how your condition affects your productivity and suggest specific accommodations that could help you perform better.,World Health Organization Mental Health Manual
What are the symptoms of digital burnout?,"Constant eye strain, feeling anxious when away from your phone, and a total lack of energy to engage in online work or social tasks.",World Health Organization Mental Health Manual
How can I deal with feelings of worthlessness?,Practice self-compassion by treating yourself like a friend. Challenge negative self-talk with facts about your past achievements.,World Health Organization Mental Health Manual
What is the connection between gut health and mental health?,The gut and brain are connected via the vagus nerve a healthy diet can improve serotonin production and stabilize mood.,World Health Organization Mental Health Manual
How do I stop overthinking every decision I make?,Set a time limit for small decisions and practice satisficingchoosing an option that is good enough rather than perfect.,World Health Organization Mental Health Manual
Is it helpful to take a mental health day off from work?,"Yes, if used for genuine rest or clinical appointments, it can prevent a full breakdown and improve long-term productivity.",World Health Organization Mental Health Manual
How can I help a teenager who is constantly isolated?,"Offer a non-judgmental space to talk, engage in low-pressure activities together, and gently suggest professional guidance if needed.",World Health Organization Mental Health Manual
What are the physical effects of chronic stress?,"It can lead to persistent headaches, muscle tension, digestive issues, and a weakened immune system over time.",World Health Organization Mental Health Manual
How do I differentiate between healthy habit and addiction?,An addiction usually continues despite negative consequences and causes significant distress when you try to stop.,World Health Organization Mental Health Manual
Can journaling really help with anxiety?,"Yes, writing down your thoughts externalizes them, making them easier to analyze and less overwhelming to hold in your mind.",National Institute of Mental Health Clinical Guide
What should I do if my anxiety is making me feel physically sick?,Focus on grounding techniques like the 5-4-3-2-1 method and consult a doctor to rule out other medical issues.,National Institute of Mental Health Clinical Guide
How do I handle the pressure of social media perfection?,Curate your feed to include realistic content and set strict daily limits on app usage to reduce comparison.,World Health Organization Mental Health Manual
Why do I feel more anxious in the mornings?,Cortisol levels are naturally higher in the morning try a calm routine with light stretching or meditation to stabilize.,World Health Organization Mental Health Manual
How can I improve my focus when I feel depressed?,"Use the Pomodoro techniquework for 25 minutes and rest for 5. Break every large task into tiny, manageable steps.",National Institute of Mental Health Clinical Guide
Is it okay to cut off toxic family members for my peace?,"Setting boundaries is healthy. If a relationship consistently damages your mental health, distancing yourself may be necessary.",World Health Organization Mental Health Manual
How do I deal with the grief of losing a pet?,"Allow yourself to mourn fully without shame. Pets are family, and their loss is a significant emotional event.",World Health Organization Mental Health Manual
What are some signs that I need to see a psychiatrist?,"If your symptoms prevent you from working, sleeping, or eating, or if you have thoughts of self-harm, seek help immediately.",World Health Organization Mental Health Manual
How can I manage financial stress?,"Create a clear budget, focus on what you can control, and seek advice from a financial counselor to reduce the feeling of chaos.",World Health Organization Mental Health Manual
What is active listening in a relationship?,"It involves fully concentrating on what is being said, understanding the message, and responding thoughtfully without judgment.",World Health Organization Mental Health Manual
How do I stop feeling guilty for resting?,Remind yourself that rest is a biological necessity and a productive part of your life that allows you to function later.,World Health Organization Mental Health Manual
What is the role of sunlight in mental wellness?,"Sunlight boosts Vitamin D and serotonin, which are essential for mood regulation and a healthy sleep-wake cycle.",World Health Organization Mental Health Manual
How can I cope with a sudden panic attack?,Focus entirely on your breath. Inhale slowly through your nose and exhale even more slowly through your mouth until it passes.,World Health Organization Mental Health Manual
Why is it hard to ask for help when Im struggling?,"Stigma and the fear of being a burden often get in the way. Remember that asking for help is a sign of strength, not weakness.",World Health Organization Mental Health Manual
How can I rebuild my self-confidence after a failure?,"View the failure as a learning data point rather than a reflection of your identity. Focus on small, achievable daily wins.",World Health Organization Mental Health Manual
What is the impact of sleep deprivation on mood?,"It increases irritability, heightens emotional reactivity, and significantly lowers your ability to manage stress.",World Health Organization Mental Health Manual
How do I deal with the Sunday Scaries or work anxiety?,Prepare for Monday on Friday afternoon and dedicate your Sunday to relaxation and hobbies that have nothing to do with work.,National Institute of Mental Health Clinical Guide
Can mindfulness help with chronic pain?,"Yes, it helps change the brains relationship with pain signals, often making the discomfort more manageable through acceptance.",World Health Organization Mental Health Manual
